source_center,destination_center,total_trips,median_delay_ratio,mean_delay_ratio,p90_delay_ratio,std_delay_ratio,sla_breaches,od_mean_dist_km,od_reliability,breach_rate,is_chronic,breach_share_pct
IND302014AAA,IND301001AAB,21,1.591240759763448,1.5510859934160437,1.6808509446205004,0.1301754904011217,21,165.39815238095238,0.0,1.0,True,0.08800972297891957
IND382430AAB,IND389001AAA,21,1.6874998242187682,1.7282853796421798,1.9574466002716384,0.16309296456314412,21,137.14711428571428,0.0,1.0,True,0.08800972297891957
IND390022AAA,IND395023AAA,21,1.747967337563631,1.7818933887074728,2.033333163888903,0.1859325662198388,21,172.75860952380953,0.0,1.0,True,0.08800972297891957
IND395023AAA,IND382430AAB,21,1.6772485885053656,1.7057773396663105,1.972972866325791,0.25957574404840733,21,280.96460952380954,0.0476190476190476,1.0,True,0.08800972297891957
IND400072AAB,IND421302AAR,21,2.1363626652896976,2.708045794699003,2.8333321527782696,2.1986191658549865,21,28.78715238095238,0.0,1.0,True,0.08800972297891957
IND413002AAA,IND413501AAA,21,1.553191158895498,1.5908335803940314,1.7659570710729635,0.14925699308085386,21,64.76405238095238,0.0,1.0,True,0.08800972297891957
IND413501AAA,IND413401AAA,21,1.441176046712927,1.4305718119652435,1.5588230709343909,0.10954753153629614,21,38.12627619047619,0.0476190476190476,1.0,True,0.08800972297891957
IND421302AAG,IND422011AAD,21,1.7291664865451577,1.773545057749671,1.8599998140000185,0.11041764596678201,21,138.0440904761905,0.0,1.0,True,0.08800972297891957
IND422011AAD,IND421302AAG,21,2.294736600554042,3.0193293952155296,5.042104732410028,1.8971061822966697,21,136.71907142857145,0.0,1.0,True,0.08800972297891957
IND444602AAA,IND444005AAB,21,2.10958875211113,2.1950435412880243,2.4444441049383188,0.27561609947340787,21,96.7309,0.0,1.0,True,0.08800972297891957
IND500050AAA,IND501359AAE,21,2.4666658444447185,3.7607206199983345,8.937497207032122,3.1291221388162933,21,37.03151904761905,0.0,1.0,True,0.08800972297891957
IND501359AAE,IND585104AAA,21,1.445595780020944,1.429967014484553,1.510416587999136,0.07000294491464805,21,249.9195047619048,0.0,1.0,True,0.08800972297891957
IND521225AAB,IND521201AAA,21,1.5769227736686973,1.9118297260406945,1.94339585973663,1.052022518427315,21,53.01844761904762,0.0,1.0,True,0.08800972297891957
IND523002AAA,IND523230AAA,21,1.6363633884297897,1.6748110817020887,1.8450701626661743,0.18667999227563234,21,78.49949047619047,0.0,1.0,True,0.08800972297891957
IND532001AAB,IND532127AAA,21,1.965516563614978,2.1860357954484293,2.60605981634551,0.7026581181616138,21,34.65214761904762,0.0,1.0,True,0.08800972297891957
IND532127AAA,IND535591AAA,21,1.6829264187984343,1.7176049491723857,1.9047614512472733,0.1705151979884833,21,48.73673333333333,0.0,1.0,True,0.08800972297891957
IND560002AAA,IND562132AAA,22,1.9111166285329442,2.013364461559274,3.38292600416439,0.7847546229729138,21,35.38816818181818,0.0909090909090909,0.9545454545454546,True,0.08800972297891957
IND562132AAA,IND560060AAB,24,1.6025634098810202,1.7463669909510589,2.5235888651153626,0.5749777302432367,21,27.420683333333333,0.125,0.875,True,0.08800972297891957
IND585330AAE,IND585401AAA,21,1.8484842883380943,1.8658566962326333,1.9142851673470949,0.2495178737701156,21,48.35639047619048,0.0,1.0,True,0.08800972297891957
IND691001AAB,IND691506AAA,21,1.399999440000224,1.4214014521466884,1.6249993229169488,0.14608138157693665,21,23.4499,0.0952380952380952,1.0,True,0.08800972297891957
IND691574AAA,IND695614AAA,21,1.5263149861500074,1.5979783670819803,1.899999050000475,0.26432136789835725,21,21.40647142857143,0.0,1.0,True,0.08800972297891957
IND834002AAB,IND826004AAA,21,2.216417745043452,2.262912469401605,2.49999981343285,0.17128698228705386,21,154.2417857142857,0.0,1.0,True,0.08800972297891957
IND846004AAA,IND847103AAA,21,1.8260861625712337,2.4422788881217397,2.3913033081289967,2.53597692330419,21,26.040942857142856,0.0,1.0,True,0.08800972297891957
IND847212AAA,IND847226AAA,21,1.3947364750693485,1.5576226535145135,2.1515144995410607,0.4640342132713699,21,43.60477142857143,0.0,1.0,True,0.08800972297891957
IND847226AAA,IND842001AAA,21,9.170730588935294,9.06622728491893,9.654319795762987,0.5408628715452833,21,118.63062857142856,0.0,1.0,True,0.08800972297891957
IND848114AAA,IND848210AAA,21,1.7199993120002752,1.7963989734350017,1.9999992857145408,0.37615266058681757,21,23.708871428571427,0.0,1.0,True,0.08800972297891957
IND852139AAB,IND854326AAB,21,3.232876269469004,3.155983784226272,3.6849310020642463,0.5276084723231765,21,106.02635714285714,0.0,1.0,True,0.08800972297891957
IND854326AAB,IND854311AAA,21,1.6999994333335222,2.1658304265936548,4.827584542212227,1.308223568034373,21,43.0646,0.0,1.0,True,0.08800972297891957
IND000000ACB,IND302022AAD,20,1.436098116495722,1.56584838393686,1.7337934652457643,0.3429065678187033,20,243.368025,0.0,1.0,True,0.08381878378944721
IND140901AAA,IND160055AAA,20,1.8166653027788144,1.8718843529919589,2.181109686050317,0.3917538408635581,20,13.806360000000002,0.0,1.0,True,0.08381878378944721
IND160002AAC,IND140301AAA,21,1.4347822967864572,1.614379036079713,1.866666251851944,0.5502801056433052,20,38.222,0.0476190476190476,0.9523809523809523,True,0.08381878378944721
IND203390AAA,IND201301AAF,20,2.114966496292997,2.542897915981711,3.5845509825223516,0.7511127640646768,20,106.362175,0.0,1.0,True,0.08381878378944721
