trip_uuid,source_center,destination_center,route_type,segment_osrm_time,segment_actual_time,baseline_pred_min,graph_pred_min,baseline_err_pct,graph_err_pct,graph_wins
trip-153842870599280405,IND522647AAA,IND523201AAA,FTL,53.0,65.0,58.37,63.97,10.202225905198317,1.5806582509260418,True
trip-153850039524199741,IND522647AAA,IND523201AAA,FTL,52.0,62.0,55.44,60.43,10.572950301631804,2.5353791911552293,True
trip-153858336498101365,IND522647AAA,IND523201AAA,FTL,55.0,84.0,69.75,79.44,16.965066818963916,5.427188673187493,True
trip-153806294729162655,IND523002AAA,IND523226AAA,FTL,21.0,51.0,56.09,48.99,9.986047183766084,3.9314477672097525,True
trip-153806309018898401,IND523002AAA,IND523230AAA,FTL,67.0,110.0,105.37,103.93,4.208526611328125,5.519753284717449,False
trip-153814738977136010,IND523002AAA,IND523230AAA,FTL,67.0,109.0,108.97,102.9,0.028074771986095187,5.594109817655934,False
trip-153823885904024188,IND523002AAA,IND523230AAA,FTL,67.0,104.0,101.81,102.34,2.1066959087665262,1.5964956777925028,True
trip-153834590219303895,IND523002AAA,IND523230AAA,FTL,67.0,108.0,108.99,102.47,0.9124190719039351,5.124107849881869,False
trip-153842912218189336,IND523002AAA,IND523230AAA,FTL,66.0,108.0,106.65,102.26,1.2484444512261283,5.31735061645338,False
trip-153850044599697017,IND523002AAA,IND523230AAA,FTL,67.0,110.0,111.67,102.68,1.5192135897549717,6.653262411203206,False
trip-153858359451416248,IND523002AAA,IND523230AAA,FTL,67.0,107.0,102.19,102.36,4.495695595429323,4.332973222547389,True
trip-153806309018898401,IND523105AAA,IND524201AAA,FTL,53.0,61.0,63.24,58.78,3.680088480965036,3.6339596981046505,True
trip-153814738977136010,IND523105AAA,IND524201AAA,FTL,54.0,47.0,59.11,52.26,25.77581202730219,11.18895164477501,True
trip-153823885904024188,IND523105AAA,IND524201AAA,FTL,54.0,56.0,61.94,59.41,10.603455134800502,6.098036306275555,True
trip-153834590219303895,IND523105AAA,IND524201AAA,FTL,55.0,61.0,61.48,55.81,0.7809998559170082,8.512158392927194,False
